 ,Made Donation in March 2007
659,0.3
276,0.3
263,0.3
303,0.3
83,0.3
500,0.3
530,0.3
244,0.3
249,0.3
728,0.3
129,0.3
534,0.3
317,0.3
401,0.3
696,0.3
192,0.3
176,0.3
571,0.3
139,0.3
423,0.3
563,0.3
56,0.3
528,0.3
101,0.3
467,0.3
382,0.3
466,0.3
294,0.3
512,0.3
659,0.3
389,0.3
487,0.3
701,0.3
419,0.3
536,0.3
240,0.3
508,0.3
515,0.3
283,0.3
650,0.3
65,0.3
228,0.3
741,0.3
297,0.3
464,0.3
63,0.3
231,0.3
28,0.3
248,0.3
357,0.3
300,0.3
726,0.3
680,0.3
520,0.3
254,0.3
582,0.3
143,0.3
98,0.3
1,0.3
221,0.3
352,0.3
64,0.3
138,0.3
745,0.3
64,0.3
688,0.3
623,0.3
289,0.3
174,0.3
690,0.3
105,0.3
427,0.3
48,0.3
14,0.3
657,0.3
301,0.3
455,0.3
579,0.3
722,0.3
98,0.3
491,0.3
303,0.3
466,0.3
65,0.3
300,0.3
9,0.3
622,0.3
323,0.3
289,0.3
568,0.3
290,0.3
156,0.3
464,0.3
426,0.3
306,0.3
4,0.3
12,0.3
187,0.3
406,0.3
96,0.3
509,0.3
733,0.3
548,0.3
478,0.3
501,0.3
127,0.3
199,0.3
299,0.3
162,0.3
235,0.3
23,0.3
473,0.3
487,0.3
683,0.3
303,0.3
309,0.3
569,0.3
34,0.3
686,0.3
84,0.3
733,0.3
537,0.3
181,0.3
453,0.3
67,0.3
161,0.3
307,0.3
703,0.3
181,0.3
246,0.3
316,0.3
278,0.3
346,0.3
545,0.3
419,0.3
694,0.3
622,0.3
663,0.3
262,0.3
461,0.3
373,0.3
233,0.3
466,0.3
207,0.3
263,0.3
16,0.3
513,0.3
449,0.3
429,0.3
701,0.3
632,0.3
529,0.3
245,0.3
344,0.3
353,0.3
241,0.3
633,0.3
624,0.3
726,0.3
189,0.3
138,0.3
402,0.3
511,0.3
590,0.3
334,0.3
447,0.3
119,0.3
389,0.3
644,0.3
423,0.3
131,0.3
405,0.3
82,0.3
643,0.3
156,0.3
617,0.3
574,0.3
272,0.3
613,0.3
545,0.3
685,0.3
570,0.3
537,0.3
691,0.3
85,0.3
483,0.3
455,0.3
93,0.3
744,0.3
33,0.3
321,0.3
523,0.3
426,0.3
196,0.3
301,0.3
103,0.3
224,0.3
454,0.3
585,0.3
154,0.3
