 ,Made Donation in March 2007
659,0.471161015
276,0.0990922
263,0.132769518
303,0.208179852
83,0.638910984
500,0.66146446
530,0.294383367
244,0.085157959
249,0.03358638
728,0.039666965
129,0.223190721
534,0.137186719
317,0.313453097
401,0.132769518
696,0.291450627
192,0.119573488
176,0.086038414
571,0.426372445
139,0.149692801
423,0.259023311
563,0.671621523
56,0.55771105
528,0.534682095
101,0.132769518
467,0.120055209
382,0.379037654
466,0.281884345
294,0.085157959
512,0.193848353
659,0.471161015
389,0.4083947
487,0.105862056
701,0.222978159
419,0.202490358
536,0.120055209
240,0.09177639
508,0.120055209
515,0.085157959
283,0.568879876
650,0.132769518
65,0.418181664
228,0.104862105
741,0.069389625
297,0.532940841
464,0.056061548
63,0.222978159
231,0.446681045
28,0.056013517
248,0.085157959
357,0.070335363
300,0.514924399
726,0.51190595
680,0.114300358
520,0.539432245
254,0.042094018
582,0.217427917
143,0.206189984
98,0.652676935
1,0.20149648
221,0.457018697
352,0.132769518
64,0.082283725
138,0.208880558
745,0.426897131
64,0.082283725
688,0.033001264
623,0.071017201
289,0.134614653
174,0.361849044
690,0.132769518
105,0.170778877
427,0.094742976
48,0.04563117
14,0.132769518
657,0.031727492
301,0.132424814
455,0.0967157
579,0.258830922
722,0.096233716
98,0.652676935
491,0.04563117
303,0.208179852
466,0.281884345
65,0.418181664
300,0.514924399
9,0.076245351
622,0.119573488
323,0.065871891
289,0.134614653
568,0.264903116
290,0.132769518
156,0.103325411
464,0.056061548
426,0.145940208
306,0.122503054
4,0.195860032
12,0.485277778
187,0.267660173
406,0.123476128
96,0.294383367
509,0.222978159
733,0.105089288
548,0.095804191
478,0.356669043
501,0.217754885
127,0.498340041
199,0.218060723
299,0.55426616
162,0.132769518
235,0.194046966
23,0.194712647
473,0.132769518
487,0.105862056
683,0.617406889
303,0.208179852
309,0.039955105
569,0.052143012
34,0.622915468
686,0.674123307
84,0.103547034
733,0.105089288
537,0.603428772
181,0.073646963
453,0.55520897
67,0.44103945
161,0.426897131
307,0.295732228
703,0.18507577
181,0.073646963
246,0.168196982
316,0.530999637
278,0.119573488
346,0.239623357
545,0.132769518
419,0.202490358
694,0.294383367
622,0.119573488
663,0.071419036
262,0.660379992
461,0.2590107
373,0.600146307
233,0.132769518
466,0.281884345
207,0.206189984
263,0.132769518
16,0.052143012
513,0.076153502
449,0.517555788
429,0.01797552
701,0.222978159
632,0.052071829
529,0.655378621
245,0.136098063
344,0.191258338
353,0.212852861
241,0.30178497
633,0.05381371
624,0.222978159
726,0.51190595
189,0.119573488
138,0.208880558
402,0.085157959
511,0.511536853
590,0.302503015
334,0.103325411
447,0.050129473
119,0.281884345
389,0.4083947
644,0.132769518
423,0.259023311
131,0.052143012
405,0.04563117
82,0.132769518
643,0.600146307
156,0.103325411
617,0.062317872
574,0.434576407
272,0.2590107
613,0.060530398
545,0.132769518
685,0.085157959
570,0.164965422
537,0.603428772
691,0.05381371
85,0.438516266
483,0.168196982
455,0.0967157
93,0.119573488
744,0.222978159
33,0.168196982
321,0.570605192
523,0.163046038
426,0.145940208
196,0.039103703
301,0.132424814
103,0.05381371
224,0.075593477
454,0.103762618
585,0.039293767
154,0.398278758
