 ,Made Donation in March 2007
659,0.421026702
276,0.191786047
263,0.18458093
303,0.306666715
83,0.367852399
500,0.486184463
530,0.271922201
244,0.047364598
249,0.071190074
728,0.058056878
129,0.215446188
534,0.171003258
317,0.259358255
401,0.18458093
696,0.24634148
192,0.15663526
176,0.227642959
571,0.466854505
139,0.210090817
423,0.193009814
563,0.606156873
56,0.562942588
528,0.407401261
101,0.18458093
467,0.190283947
382,0.412820639
466,0.288332001
294,0.047364598
512,0.189519465
659,0.421026702
389,0.412820639
487,0.142469189
701,0.231340948
419,0.139060201
536,0.173477224
240,0.237044668
508,0.204989829
515,0.047364598
283,0.533775921
650,0.18458093
65,0.382267785
228,0.265202563
741,0.116635855
297,0.223484337
464,0.080333459
63,0.231340948
231,0.407474687
28,0.066183285
248,0.047364598
357,0.237861614
300,0.421026702
726,0.490328648
680,0.249734042
520,0.571213264
254,0.050821799
582,0.243577987
143,0.219417344
98,0.390517528
1,0.230765389
221,0.418028732
352,0.18458093
64,0.139906873
138,0.269877664
745,0.408618958
64,0.139906873
688,0.091700608
623,0.10994563
289,0.300945581
174,0.405837277
690,0.18458093
105,0.172201212
427,0.249734042
48,0.142225576
14,0.18458093
657,0.04910879
301,0.155618643
455,0.086087935
579,0.259358255
722,0.19100414
98,0.390517528
491,0.142225576
303,0.306666715
466,0.288332001
65,0.382267785
300,0.421026702
9,0.070026936
622,0.15663526
323,0.091700608
289,0.300945581
568,0.203553318
290,0.18458093
156,0.147613742
464,0.080333459
426,0.128996499
306,0.223677503
4,0.337844169
12,0.275131847
187,0.292553505
406,0.20442048
96,0.271922201
509,0.231340948
733,0.155618643
548,0.079984876
478,0.22434407
501,0.264397906
127,0.444842527
199,0.320682423
299,0.388664063
162,0.18458093
235,0.179869846
23,0.209277769
473,0.18458093
487,0.142469189
683,0.59025999
303,0.306666715
309,0.050821799
569,0.144812289
34,0.577931765
686,0.408577529
84,0.099326103
733,0.155618643
537,0.580858281
181,0.172201212
453,0.486126968
67,0.303575159
161,0.393173521
307,0.213180338
703,0.210640412
181,0.172201212
246,0.135663165
316,0.237770051
278,0.15663526
346,0.214647315
545,0.18458093
419,0.139060201
694,0.271922201
622,0.15663526
663,0.128749273
262,0.367852399
461,0.19283524
373,0.463087752
233,0.18458093
466,0.288332001
207,0.219417344
263,0.18458093
16,0.144812289
513,0.091706487
449,0.243754766
429,0.052210688
701,0.231340948
632,0.066099577
529,0.580858281
245,0.454099372
344,0.243763909
353,0.162728556
241,0.405849821
633,0.040697931
624,0.231340948
726,0.490328648
189,0.15663526
138,0.269877664
402,0.047364598
511,0.561908362
590,0.444697662
334,0.174852843
447,0.077210688
119,0.288332001
389,0.412820639
644,0.18458093
423,0.193009814
131,0.144812289
405,0.140534754
82,0.18458093
643,0.463087752
156,0.147613742
617,0.086234876
574,0.389895741
272,0.19283524
613,0.124475769
545,0.18458093
685,0.047364598
570,0.200991579
537,0.580858281
691,0.040697931
85,0.433427521
483,0.135663165
455,0.086087935
93,0.15663526
744,0.231340948
33,0.135663165
321,0.467289433
523,0.08474277
426,0.128996499
196,0.047241903
301,0.155618643
103,0.040697931
224,0.141149609
454,0.2269351
585,0.163209058
154,0.368614784
